id,snapshot_date,snapshot_batch,source_table,recorded_at,security,total_bid,total_ask,diff_percent,ppl_dominance,total_bid_splits,total_ask_splits,top_bid_qty,top_bid_price,current_bid_price,created_at
2646,2025-12-19,02,bid_vs_ask_2025_12_19_02,"2025-12-19 09:32:56",VFIN.N0000,36281,22743,37.3143,18.37,29,20,2247,100,100.75,"2026-01-04 01:43:55"
2647,2025-12-19,02,bid_vs_ask_2025_12_19_02,"2025-12-19 09:32:56",CITW.N0000,20961835,13552606,35.3463,-12.4,159,204,11642426,1.9,2,"2026-01-04 01:43:55"
2648,2025-12-19,02,bid_vs_ask_2025_12_19_02,"2025-12-19 09:32:56",BPPL.N0000,82422,54703,33.6306,51.52,50,16,26555,20,20.2,"2026-01-04 01:43:55"
2649,2025-12-19,02,bid_vs_ask_2025_12_19_02,"2025-12-19 09:32:56",TJL.N0000,263202,174955,33.5282,75.51,86,12,26931,35,35.9,"2026-01-04 01:43:55"
2650,2025-12-19,02,bid_vs_ask_2025_12_19_02,"2025-12-19 09:32:56",ASIY.N0000,442158,304533,31.1258,27.08,61,35,128599,9,9.6,"2026-01-04 01:43:55"
2651,2025-12-19,02,bid_vs_ask_2025_12_19_02,"2025-12-19 09:32:56",LMF.N0000,102927,71081,30.9404,40.85,50,21,24550,65.5,65.5,"2026-01-04 01:43:55"
2652,2025-12-19,02,bid_vs_ask_2025_12_19_02,"2025-12-19 09:32:56",EDEN.N0000,200118,141178,29.4526,59.09,70,18,83761,13,13.1,"2026-01-04 01:43:55"
2653,2025-12-19,02,bid_vs_ask_2025_12_19_02,"2025-12-19 09:32:56",CSD.N0000,163751,118561,27.5968,7.32,22,19,50000,29,30.2,"2026-01-04 01:43:55"
2654,2025-12-19,02,bid_vs_ask_2025_12_19_02,"2025-12-19 09:32:56",HAYC.N0000,38160,29144,23.6268,52.94,52,16,13853,100,103,"2026-01-04 01:43:55"
2655,2025-12-19,02,bid_vs_ask_2025_12_19_02,"2025-12-19 09:32:56",CFIN.N0000,41250,31937,22.577,-2.56,19,20,201,269.5,269.5,"2026-01-04 01:43:55"
2656,2025-12-19,02,bid_vs_ask_2025_12_19_02,"2025-12-19 09:32:56",CPRT.N0000,429,360,16.0839,16.67,7,5,258,809,809,"2026-01-04 01:43:55"
2657,2025-12-19,02,bid_vs_ask_2025_12_19_02,"2025-12-19 09:32:56",UML.N0000,22017,19299,12.345,16.67,21,15,3579,296.5,302.5,"2026-01-04 01:43:55"
2658,2025-12-19,02,bid_vs_ask_2025_12_19_02,"2025-12-19 09:32:56",DOCK.N0000,244709,220420,9.9257,6.38,25,22,201950,150,170,"2026-01-04 01:43:55"
2659,2025-12-19,02,bid_vs_ask_2025_12_19_02,"2025-12-19 09:32:56",WATA.N0000,97043,87462,9.8729,52.38,48,15,4509,45,46.7,"2026-01-04 01:43:55"
2660,2025-12-19,02,bid_vs_ask_2025_12_19_02,"2025-12-19 09:32:56",COLO.N0000,21312,19620,7.9392,44.44,26,10,5270,55,58,"2026-01-04 01:43:55"
2661,2025-12-19,02,bid_vs_ask_2025_12_19_02,"2025-12-19 09:32:56",HELA.N0000,5762333,5408316,6.1436,18.85,186,127,2155731,3,3.1,"2026-01-04 01:43:55"
2662,2025-12-19,02,bid_vs_ask_2025_12_19_02,"2025-12-19 09:32:56",HHL.N0000,550066,530554,3.5472,50.4,94,31,341860,35,35.2,"2026-01-04 01:43:55"
2663,2025-12-19,02,bid_vs_ask_2025_12_19_02,"2025-12-19 09:32:56",SEMB.N0000,48738842,47418027,2.71,0,240,240,31625307,0.6,0.7,"2026-01-04 01:43:55"
2664,2025-12-19,02,bid_vs_ask_2025_12_19_02,"2025-12-19 09:32:56",DFCC.N0000,78537,77577,1.2224,15.07,42,31,3098,145.25,147.5,"2026-01-04 01:43:55"
2665,2025-12-19,03,bid_vs_ask_2025_12_19_03,"2025-12-19 09:35:47",SLND.N0000,33,2,93.9394,55.56,7,2,25,1500,1715.25,"2026-01-04 01:43:55"
2666,2025-12-19,03,bid_vs_ask_2025_12_19_03,"2025-12-19 09:35:47",HASU.N0000,146808,19037,87.0327,28.21,25,14,10256,99,99.5,"2026-01-04 01:43:55"
2667,2025-12-19,03,bid_vs_ask_2025_12_19_03,"2025-12-19 09:35:47",NTB.N0000,121445,16105,86.7389,26.32,24,14,6051,293,296,"2026-01-04 01:43:55"
2668,2025-12-19,03,bid_vs_ask_2025_12_19_03,"2025-12-19 09:35:47",JKH.N0000,4876144,931877,80.8891,83.91,343,30,2227408,20.7,21.2,"2026-01-04 01:43:55"
2669,2025-12-19,03,bid_vs_ask_2025_12_19_03,"2025-12-19 09:35:47",SAMP.N0000,475562,105447,77.8269,65.61,183,38,84751,140,142,"2026-01-04 01:43:55"
2670,2025-12-19,03,bid_vs_ask_2025_12_19_03,"2025-12-19 09:35:47",CIT.N0000,10290,2634,74.4023,4.76,11,10,10000,400,475,"2026-01-04 01:43:55"
2671,2025-12-19,03,bid_vs_ask_2025_12_19_03,"2025-12-19 09:35:47",RIL.N0000,940686,259571,72.4062,55.93,46,13,35535,31.5,31.7,"2026-01-04 01:43:55"
2672,2025-12-19,03,bid_vs_ask_2025_12_19_03,"2025-12-19 09:35:47",MULL.N0000,9338114,2804847,69.9635,23.64,68,42,3724000,1.8,2.1,"2026-01-04 01:43:55"
2673,2025-12-19,03,bid_vs_ask_2025_12_19_03,"2025-12-19 09:35:47",TESS.N0000,6635575,2377120,64.1761,1.32,77,75,2973766,1.3,1.4,"2026-01-04 01:43:55"
2674,2025-12-19,03,bid_vs_ask_2025_12_19_03,"2025-12-19 09:35:47",DIST.N0000,93764,35941,61.6687,5.56,19,17,520,56.8,57.7,"2026-01-04 01:43:55"
2675,2025-12-19,03,bid_vs_ask_2025_12_19_03,"2025-12-19 09:35:47",ELPL.N0000,23870,10374,56.5396,14.29,20,15,4183,160,161.75,"2026-01-04 01:43:55"
2676,2025-12-19,03,bid_vs_ask_2025_12_19_03,"2025-12-19 09:35:47",RGEM.N0000,2311,1009,56.3392,-4.76,10,11,800,90.2,100,"2026-01-04 01:43:55"
2677,2025-12-19,03,bid_vs_ask_2025_12_19_03,"2025-12-19 09:35:47",DIPD.N0000,123818,54700,55.8223,71.11,77,13,58832,59,59.8,"2026-01-04 01:43:55"
2678,2025-12-19,03,bid_vs_ask_2025_12_19_03,"2025-12-19 09:35:47",YORK.N0000,5654,2565,54.6339,8.33,13,11,761,830,850.25,"2026-01-04 01:43:55"
2679,2025-12-19,03,bid_vs_ask_2025_12_19_03,"2025-12-19 09:35:47",CLND.N0000,119388,55835,53.2323,-6.67,14,16,69727,44,45.5,"2026-01-04 01:43:55"
2680,2025-12-19,03,bid_vs_ask_2025_12_19_03,"2025-12-19 09:35:47",EAST.N0000,351129,167117,52.4058,-17.95,16,23,68514,65,68,"2026-01-04 01:43:55"
2681,2025-12-19,03,bid_vs_ask_2025_12_19_03,"2025-12-19 09:35:47",LFIN.N0000,24209,11668,51.803,44,36,14,4603,146,153.75,"2026-01-04 01:43:55"
2682,2025-12-19,03,bid_vs_ask_2025_12_19_03,"2025-12-19 09:35:47",STAF.N0000,49698,24118,51.4709,14.29,16,12,10000,53.1,54.7,"2026-01-04 01:43:55"
2683,2025-12-19,03,bid_vs_ask_2025_12_19_03,"2025-12-19 09:35:47",AHUN.N0000,35934,17879,50.2449,31.43,23,12,3115,103,106.5,"2026-01-04 01:43:55"
2684,2025-12-19,03,bid_vs_ask_2025_12_19_03,"2025-12-19 09:35:47",LVEN.N0000,54783,28103,48.7012,10.34,16,13,35600,60,69.6,"2026-01-04 01:43:55"
2685,2025-12-19,03,bid_vs_ask_2025_12_19_03,"2025-12-19 09:35:47",OSEA.N0000,87450,45571,47.8891,34.25,49,24,30687,38,38.3,"2026-01-04 01:43:55"
2686,2025-12-19,03,bid_vs_ask_2025_12_19_03,"2025-12-19 09:35:47",CCS.N0000,36622,19661,46.3137,60,52,13,14887,105.5,107.5,"2026-01-04 01:43:55"
2687,2025-12-19,03,bid_vs_ask_2025_12_19_03,"2025-12-19 09:35:47",CTLD.N0000,29347,16596,43.4491,35.29,23,11,2100,35.1,36.1,"2026-01-04 01:43:55"
2688,2025-12-19,03,bid_vs_ask_2025_12_19_03,"2025-12-19 09:35:47",WIND.N0000,157438,92280,41.3865,40.91,31,13,120610,45.1,46.6,"2026-01-04 01:43:55"
2689,2025-12-19,03,bid_vs_ask_2025_12_19_03,"2025-12-19 09:35:47",LIOC.N0000,77386,48202,37.7122,67.03,76,15,25487,127,127.5,"2026-01-04 01:43:55"
2690,2025-12-19,03,bid_vs_ask_2025_12_19_03,"2025-12-19 09:35:47",UDPL.N0000,3901,2431,37.6826,-20,12,18,325,150,158.25,"2026-01-04 01:43:55"
2691,2025-12-19,03,bid_vs_ask_2025_12_19_03,"2025-12-19 09:35:47",TESS.X0000,3409545,2125993,37.6458,-10.34,52,64,1855780,1,1,"2026-01-04 01:43:55"
2692,2025-12-19,03,bid_vs_ask_2025_12_19_03,"2025-12-19 09:35:47",VFIN.N0000,36281,22743,37.3143,29.82,37,20,4325,99,100.75,"2026-01-04 01:43:55"
2693,2025-12-19,03,bid_vs_ask_2025_12_19_03,"2025-12-19 09:35:47",DOCK.N0000,322397,208157,35.4346,18.18,26,18,50370,160,162,"2026-01-04 01:43:55"
2694,2025-12-19,03,bid_vs_ask_2025_12_19_03,"2025-12-19 09:35:47",CITW.N0000,20960835,13552621,35.3431,-12.09,160,204,11642426,1.9,2,"2026-01-04 01:43:55"
