security,regime,signal_kmeans,score_x,model_x,score_y,signal_classifier,model_y,transformer_avg_score,transformer_last_score,buy_ratio,sell_ratio,hold_ratio,total_signals,transformer_momentum,signal_transformer,final_signal
AAIC.N0000,🐳 Whale Accumulation,BUY,,kmeans,0.3241572415528109,SELL,classifier,0.3613763108397975,0.3807718455791473,0.0,1.0,0.0,33,Bearish,SELL,🔻 SELL
AUTO.N0000,🛑 Panic Crash,SELL,,kmeans,0.4315743563031218,HOLD,classifier,0.3614256478125049,0.3818204998970032,0.0,0.967741935483871,0.032258064516129,31,Bearish,SELL,🔻 SELL
PLR.N0000,🐳 Whale Accumulation,BUY,,kmeans,0.3159878748329106,SELL,classifier,0.3721500764022002,0.3323119580745697,0.0,0.972972972972973,0.027027027027027,37,Bearish,SELL,🔻 SELL
BFL.N0000,🛑 Panic Crash,SELL,,kmeans,0.3873207003327317,SELL,classifier,0.3654837557247707,0.361506700515747,0.0,0.8857142857142857,0.1142857142857142,35,Bearish,SELL,🔻 SELL
MFPE.N0000,🛑 Panic Crash,SELL,,kmeans,0.3597715157415563,SELL,classifier,0.3583339340156979,0.3409689962863922,0.0,1.0,0.0,45,Bearish,SELL,🔻 SELL
MSL.N0000,🛑 Panic Crash,SELL,,kmeans,0.4220978083030946,HOLD,classifier,0.3717248625046498,0.3688101768493652,0.0,1.0,0.0,37,Bearish,SELL,🔻 SELL
SERV.N0000,🛑 Panic Crash,SELL,,kmeans,0.3509970772220551,SELL,classifier,0.3489795366400166,0.3674423694610595,0.0,1.0,0.0,38,Bearish,SELL,🔻 SELL
EMER.N0000,🛑 Panic Crash,SELL,,kmeans,0.3528535066238429,SELL,classifier,0.3717087781107103,0.3347414135932922,0.0,0.918918918918919,0.081081081081081,37,Bearish,SELL,🔻 SELL
JINS.N0000,🛑 Panic Crash,SELL,,kmeans,0.3781298769564091,SELL,classifier,0.3429433067639669,0.3237976431846618,0.0,1.0,0.0,60,Bearish,SELL,🔻 SELL
CALF.N0000,🛑 Panic Crash,SELL,,kmeans,0.4433913588389299,HOLD,classifier,0.373259655453942,0.3868423402309418,0.0,0.9696969696969696,0.0303030303030303,33,Bearish,SELL,🔻 SELL
RHL.N0000,🛑 Panic Crash,SELL,,kmeans,0.3881429787562562,SELL,classifier,0.3819654411391208,0.3732751309871673,0.0,0.9298245614035088,0.0701754385964912,57,Bearish,SELL,🔻 SELL
RAL.N0000,🛑 Panic Crash,SELL,,kmeans,0.3261870075161933,SELL,classifier,0.3249557662654567,0.3366666734218597,0.0,1.0,0.0,37,Bearish,SELL,🔻 SELL
BOGA.N0000,🛑 Panic Crash,SELL,,kmeans,0.3619650040573004,SELL,classifier,0.3585569290444255,0.3524116277694702,0.0,1.0,0.0,32,Bearish,SELL,🔻 SELL
LION.N0000,🛑 Panic Crash,SELL,,kmeans,0.385473322821752,SELL,classifier,0.3548589913468611,0.3918789625167846,0.0,1.0,0.0,38,Bearish,SELL,🔻 SELL
DOCK.N0000,🛑 Panic Crash,SELL,,kmeans,0.3409252487797763,SELL,classifier,0.3623379108405882,0.3395113050937652,0.0,0.935483870967742,0.064516129032258,62,Bearish,SELL,🔻 SELL
REXP.N0000,🛑 Panic Crash,SELL,,kmeans,0.4322464274728089,HOLD,classifier,0.3694643193277819,0.3770760595798492,0.0,1.0,0.0,29,Bearish,SELL,🔻 SELL
SDB.N0000,🛑 Panic Crash,SELL,,kmeans,0.3838231305587249,SELL,classifier,0.3855936393926018,0.360247790813446,0.0,0.7368421052631579,0.2631578947368421,38,Bearish,SELL,🔻 SELL
PHAR.N0000,🛑 Panic Crash,SELL,,kmeans,0.4438742683632847,HOLD,classifier,0.387095645070076,0.3832891583442688,0.0,0.8333333333333334,0.1666666666666666,24,Bearish,SELL,🔻 SELL
DPL.N0000,🐳 Whale Accumulation,BUY,,kmeans,0.3412269600419575,SELL,classifier,0.3535050831057809,0.3575668334960937,0.0,1.0,0.0,33,Bearish,SELL,🔻 SELL
AMSL.N0000,🛑 Panic Crash,SELL,,kmeans,0.3560367890395036,SELL,classifier,0.3677074358318791,0.3924448788166046,0.0,0.9696969696969696,0.0303030303030303,33,Bearish,SELL,🔻 SELL
TANG.N0000,🛑 Panic Crash,SELL,,kmeans,0.4722733539667346,HOLD,classifier,0.3669729146692488,0.363406240940094,0.0,1.0,0.0,45,Bearish,SELL,🔻 SELL
ECL.N0000,🛑 Panic Crash,SELL,,kmeans,0.3642617538762696,SELL,classifier,0.3785700518637895,0.3771317899227142,0.0,1.0,0.0,32,Bearish,SELL,🔻 SELL
PMB.N0000,🛑 Panic Crash,SELL,,kmeans,0.385559292570956,SELL,classifier,0.3680698629468679,0.348719835281372,0.0,0.96875,0.03125,32,Bearish,SELL,🔻 SELL
CIC.X0000,🛑 Panic Crash,SELL,,kmeans,0.3356886706422143,SELL,classifier,0.3470665605391486,0.3216389715671539,0.0,1.0,0.0,59,Bearish,SELL,🔻 SELL
OSEA.N0000,🛑 Panic Crash,SELL,,kmeans,0.3632487544017523,SELL,classifier,0.3527128398418426,0.3309209644794464,0.0,0.9833333333333332,0.0166666666666666,60,Bearish,SELL,🔻 SELL
KPHL.N0000,🛑 Panic Crash,SELL,,kmeans,0.3495899577810372,SELL,classifier,0.384049416352541,0.3534167408943176,0.0,0.8717948717948718,0.1282051282051282,39,Bearish,SELL,🔻 SELL
CPRT.N0000,🛑 Panic Crash,SELL,,kmeans,0.3910852572474586,SELL,classifier,0.3446906944115956,0.4047358334064483,0.0,0.9555555555555556,0.0444444444444444,45,Bearish,SELL,🔻 SELL
SUN.N0000,🛑 Panic Crash,SELL,,kmeans,0.3614742076875437,SELL,classifier,0.3453549645268,0.328122079372406,0.0,1.0,0.0,52,Bearish,SELL,🔻 SELL
PARA.N0000,🛑 Panic Crash,SELL,,kmeans,0.3892932536277824,SELL,classifier,0.3626601099967956,0.4048571586608886,0.0,0.9722222222222222,0.0277777777777777,36,Bearish,SELL,🔻 SELL
HVA.N0000,🛑 Panic Crash,SELL,,kmeans,0.3228145849113668,SELL,classifier,0.3575272593767412,0.2997460663318634,0.0,0.967741935483871,0.032258064516129,31,Bearish,SELL,🔻 SELL
SHL.N0000,🛑 Panic Crash,SELL,,kmeans,0.2994578365215659,SELL,classifier,0.3460336556801429,0.3536521792411804,0.0,1.0,0.0,52,Bearish,SELL,🔻 SELL
ABAN.N0000,🛑 Panic Crash,SELL,,kmeans,0.414819612611607,HOLD,classifier,0.3712287332330431,0.3431572318077087,0.0,1.0,0.0,35,Bearish,SELL,🔻 SELL
MASK.N0000,🛑 Panic Crash,SELL,,kmeans,0.3505518342713657,SELL,classifier,0.3354032705811893,0.3790392279624939,0.0,1.0,0.0,34,Bearish,SELL,🔻 SELL
TRAN.N0000,🛑 Panic Crash,SELL,,kmeans,0.3324277138074466,SELL,classifier,0.3681618243455887,0.3790993392467499,0.0,1.0,0.0,40,Bearish,SELL,🔻 SELL
KAHA.N0000,🛑 Panic Crash,SELL,,kmeans,0.3335144263184309,SELL,classifier,0.3318672360943966,0.3353658020496368,0.0,1.0,0.0,61,Bearish,SELL,🔻 SELL
SIL.N0000,🛑 Panic Crash,SELL,,kmeans,0.4122011441971763,HOLD,classifier,0.3621257515180678,0.3807990849018097,0.0,1.0,0.0,42,Bearish,SELL,🔻 SELL
DFCC.N0000,🛑 Panic Crash,SELL,,kmeans,0.349013315956894,SELL,classifier,0.3420291300863027,0.3321430087089538,0.0,1.0,0.0,48,Bearish,SELL,🔻 SELL
SDF.N0000,🛑 Panic Crash,SELL,,kmeans,0.3314342498784876,SELL,classifier,0.35698524193886,0.3820135593414306,0.0,1.0,0.0,39,Bearish,SELL,🔻 SELL
CHMX.N0000,🛑 Panic Crash,SELL,,kmeans,0.3865613167483229,SELL,classifier,0.3697700522564076,0.3632377982139587,0.0,1.0,0.0,27,Bearish,SELL,🔻 SELL
LCBF.N0000,🛑 Panic Crash,SELL,,kmeans,0.3271201597323305,SELL,classifier,0.3191921235993504,0.0817618817090988,0.0,1.0,0.0,48,Bearish,SELL,🔻 SELL
ACL.N0000,🐳 Whale Accumulation,BUY,,kmeans,0.3699002382912928,SELL,classifier,0.3366021903193726,0.337879866361618,0.0,1.0,0.0,49,Bearish,SELL,🔻 SELL
LFIN.N0000,🛑 Panic Crash,SELL,,kmeans,0.3535334572270086,SELL,classifier,0.3486681829909889,0.3292107284069061,0.0,1.0,0.0,49,Bearish,SELL,🔻 SELL
