id,recorded_at,security,total_bid,total_ask,diff_percent,ppl_dominance,total_bid_splits,total_ask_splits,top_bid_qty,top_bid_price,current_bid_price
28,"2026-01-13 12:45:56",MERC.N0000,84446,67158,20.4700,55.1700,45,13,46723,35.000000,36.500000
29,"2026-01-13 12:45:56",COMD.N0000,15102,12444,17.6000,-15.1500,14,19,1000,301.000000,326.000000
30,"2026-01-13 12:45:56",COCO.N0000,140923,118474,15.9300,-1.8200,27,28,30260,68.000000,69.400000
31,"2026-01-13 12:45:56",ACAP.N0000,406881,344496,15.3300,8.7000,50,42,140156,6.500000,6.600000
32,"2026-01-13 12:45:56",ASIR.N0000,191478,172099,10.1200,15.6300,37,27,33564,30.000000,30.100000
33,"2026-01-13 12:45:56",LHCL.N0000,17241,15774,8.5100,28.2100,25,14,10006,99.900000,104.250000
34,"2026-01-13 12:45:56",JKL.N0000,7999,7419,7.2500,25.0000,20,12,1846,80.000000,83.400000
35,"2026-01-13 12:45:56",CARG.N0000,7674,7126,7.1400,35.1400,25,12,309,770.250000,775.500000
36,"2026-01-13 12:45:56",HDFC.N0000,299882,279609,6.7600,46.1500,38,14,150100,55.100000,59.200000
37,"2026-01-13 12:45:56",WAPO.N0000,105087,100558,4.3100,29.6300,35,19,14003,100.500000,103.000000
38,"2026-01-13 12:45:56",KVAL.N0000,13784,13614,1.2300,45.0000,29,11,3865,90.000000,91.900000
39,"2026-01-13 12:45:56",CALT.N0000,369221,364975,1.1500,60.3400,186,46,40354,54.700000,54.700000
40,"2026-01-13 12:45:56",TJL.N0000,390260,386120,1.0600,61.9000,102,24,29478,36.600000,36.800000
41,"2026-01-13 12:45:56",LIOC.N0000,253957,254722,-0.3000,-48.4400,33,95,77330,136.000000,137.250000
42,"2026-01-13 12:45:56",TAJ.N0000,6454,6706,-3.9000,24.1400,18,11,1860,39.500000,40.000000
43,"2026-01-13 12:45:56",SHAW.N0000,31486,33381,-6.0200,0.0000,20,20,1245,225.000000,240.000000
44,"2026-01-13 12:45:56",RENU.N0000,10101,10727,-6.2000,-3.2300,15,16,1300,831.000000,841.000000
45,"2026-01-13 12:45:56",CHL.X0000,15972,16964,-6.2100,0.0000,22,22,8257,240.000000,247.250000
46,"2026-01-13 12:45:56",LION.N0000,2295,2513,-9.5000,-11.7600,15,19,1020,1600.000000,1701.500000
47,"2026-01-13 12:45:56",CPRT.N0000,5569,6147,-10.3800,0.0000,13,13,5000,500.000000,645.000000
48,"2026-01-13 12:45:56",RHL.X0000,123830,139570,-12.7100,-28.8900,16,29,13590,42.000000,43.100000
49,"2026-01-13 12:45:56",LPL.N0000,154413,178452,-15.5700,15.1500,38,28,30500,13.400000,14.200000
50,"2026-01-13 12:45:56",NHL.N0000,505931,593624,-17.3300,27.5000,51,29,213668,10.400000,10.600000
